PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner_2.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner (with ratchet) ===
Ep 0001 | Return:    208.4 | Loss:      -1.280 | DR: 0.930 | Γ: 1.727 | π: 0.473
Ep 0197 | Return:    126.1 | Loss: -3101276.500 | DR: 0.944 | Γ: 1.679 | π: 0.474
Ep 0198 | Return:    174.7 | Loss: -460484.094 | DR: 0.958 | Γ: 1.782 | π: 0.467
Ep 0199 | Return:    128.9 | Loss: -3375538.500 | DR: 0.965 | Γ: 1.780 | π: 0.465
Ep 0200 | Return:     92.3 | Loss: -2265940.250 | DR: 0.936 | Γ: 1.623 | π: 0.474
    ↳ Ratchet triggered at ep 200: no improvement for 25 eps. Reverting to best_return = 304.5
    ↳ New lr: 2.796e-04
Ep 0201 | Return:     95.6 | Loss:      -9.229 | DR: 0.949 | Γ: 1.751 | π: 0.471
Ep 0202 | Return:    110.4 | Loss:    -106.638 | DR: 0.962 | Γ: 1.754 | π: 0.468
Ep 0203 | Return:    104.9 | Loss:    -230.113 | DR: 0.934 | Γ: 1.670 | π: 0.474
Ep 0204 | Return:    168.6 | Loss:   -1129.750 | DR: 0.952 | Γ: 1.742 | π: 0.467
Ep 0205 | Return:    228.5 | Loss:   -2347.005 | DR: 0.941 | Γ: 1.747 | π: 0.470
Ep 0206 | Return:    204.7 | Loss:   -6142.824 | DR: 0.957 | Γ: 1.651 | π: 0.476
Ep 0207 | Return:    112.7 | Loss:   -4902.264 | DR: 0.953 | Γ: 1.705 | π: 0.472
