PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_minimal.py
Using device: cuda
[Pendulum-Min] Ep 0215 | R_raw=-1318.38 | len=200 | actor_loss=0.018 | critic_loss=84475.195
[Pendulum-Min] Ep 0216 | R_raw=-1223.81 | len=200 | actor_loss=-0.024 | critic_loss=69341.008
[Pendulum-Min] Ep 0217 | R_raw=-1210.98 | len=200 | actor_loss=-0.039 | critic_loss=62485.770
[Pendulum-Min] Ep 0218 | R_raw=-1180.13 | len=200 | actor_loss=0.072 | critic_loss=61667.250
[Pendulum-Min] Ep 0219 | R_raw=-1346.87 | len=200 | actor_loss=-0.049 | critic_loss=86399.602
[Pendulum-Min] Ep 0220 | R_raw=-1329.24 | len=200 | actor_loss=-0.052 | critic_loss=75426.766
[Pendulum-Min] Ep 0221 | R_raw=-1342.46 | len=200 | actor_loss=0.029 | critic_loss=71109.781
[Pendulum-Min] Ep 0222 | R_raw=-1233.48 | len=200 | actor_loss=-0.021 | critic_loss=77194.984
[Pendulum-Min] Ep 0223 | R_raw=-1307.37 | len=200 | actor_loss=-0.072 | critic_loss=70313.500
[Pendulum-Min] Ep 0224 | R_raw=-1242.60 | len=200 | actor_loss=0.012 | critic_loss=83635.039
[Pendulum-Min] Ep 0225 | R_raw=-1394.20 | len=200 | actor_loss=-0.034 | critic_loss=80580.188
[Pendulum-Min] Ep 0226 | R_raw=-1356.07 | len=200 | actor_loss=-0.055 | critic_loss=88483.789
[Pendulum-Min] Ep 0227 | R_raw=-1371.18 | len=200 | actor_loss=-0.013 | critic_loss=89174.297
[Pendulum-Min] Ep 0228 | R_raw=-1279.31 | len=200 | actor_loss=0.060 | critic_loss=72089.117
[Pendulum-Min] Ep 0229 | R_raw=-1415.76 | len=200 | actor_loss=0.023 | critic_loss=88508.031
[Pendulum-Min] Ep 0230 | R_raw=-1220.04 | len=200 | actor_loss=-0.031 | critic_loss=69771.516
[Pendulum-Min] Ep 0231 | R_raw=-1329.01 | len=200 | actor_loss=0.053 | critic_loss=84694.750
